sentence_id,token,tag
83,wird,O
83,das,O
83,wetter,O
83,in,O
83,visp,O
84,ich,O
84,möchte,O
84,einen,O
84,krimi,O
84,schauen,O
85,zeig,O
85,mir,O
85,die,O
85,filme,O
85,mit,O
85,george,O
85,clooney,O
86,geh,O
86,zu,O
86,orf eins,B
87,geh,O
87,zu,O
87,prosieben,O
88,geh,O
88,zu,O
88,eins null null,B
89,ich,O
89,möchte,O
89,radio srf drei,B
89,hören,O
90,ich,O
90,möchte,O
90,radio srf drei,B
90,hören,O
91,ich,O
91,möchte,O
91,radio srf drei,B
91,hören,O
92,hey,O
92,swisscom,O
92,starte,O
92,netflix,O
93,starte,O
93,netflix,O
94,starte,O
94,teleclub,O
94,zoom,O
95,starte,O
95,rtl,O
96,srf eins,B
97,starte,O
97,srf eins,B
98,starte,O
98,netflix,O
99,rtl,O
100,stelle,O
100,den,O
100,radio,O
100,ein,O
101,stelle,O
101,den,O
101,radio,O
101,ein,O
102,geh,O
102,auf,O
102,radio,O
102,top,O
102,two,O
103,radio,O
104,radio,O
104,swiss,O
104,pop,O
105,ard,O
105,einschalten,O
106,zu,O
106,rtl,O
107,rtl,O
107,anschalten,O
108,umschalten,O
108,zu,O
108,ard,O
109,licht,O
110,schalte,O
110,auf,O
110,prosieben,O
110,um,O
111,licht,O
111,an,O
112,auf,O
112,rtl,O
112,umstellen,O
113,suche,O
113,harry,O
113,potter,O
114,action,O
114,film,O
115,srf eins,B
116,srf zwei,B
117,srf eins,B
118,ey,O
118,swisscom,O
118,rai,O
118,uno,O
119,nitro,O
120,rtl,O
120,nitro,O
121,prosieben,O
122,nickelodeon,O
123,netflix,O
124,schalte,O
124,auf,O
124,rtl,O
125,hey,O
125,swisscom srf zwei,B
125,einschalten,O
126,rtl,O
127,srf zwei,B
128,super,O
128,rtl,O
129,super,O
129,rtl,O
130,super,O
130,rtl,O
131,dmax,O
132,srf zwei,B
133,srf zwei,B
134,sch,O
134,zu,O
134,eigene,O
134,aufnahmen,O
135,bitte,O
135,sechzig sekunden vorspulen,B
136,hey,O
136,swisscom srf zwei,B
136,einschalten,O
137,radio,O
138,radio,O
139,radio,O
140,srf eins,B
141,radio,O
142,rtl,O
143,servustv,O
144,radio,O
145,radio,O
145,pilatus,O
146,orf eins,B
147,radio,O
147,argovia,O
148,hey,O
148,swisscom srf zwei,B
148,einstellen,O
149,hey,O
149,swisscom orf eins,B
149,einstellen,O
150,wie,O
150,ist,O
150,das,O
150,wetter,O
150,in,O
150,luzern,O
151,schalte,O
151,das,O
151,gerät,O
151,lampe,O
151,ein,O
152,schalte,O
152,das,O
152,gerät,O
152,led eins,B
152,ein,O
153,auf,O
153,super,O
153,rtl,O
154,auf,O
154,super,O
154,rtl,O
155,bitte,O
155,auf,O
155,auf,O
155,super,O
155,rtl,O
156,ey,O
156,swisscom,O
156,auf,O
156,dmax,O
157,zeige,O
157,die,O
157,filme,O
157,vom,O
157,arnold,O
157,mit,O
157,arnold,O
157,schwarzenegger,O
158,arnold,O
158,schwarzenegger,O
159,arnold,O
159,schwarzenegger,O
160,zeige,O
160,den,O
160,film,O
160,den,O
160,mit,O
160,arnold,O
160,schwarzenegger,O
161,schalte,O
161,bitte,O
161,lampe eins,B
161,an,O
162,spiel,O
162,prosieben,O
163,zeig,O
163,mir,O
163,das,O
163,wetter,O
163,in,O
163,sankt,O
163,gallen,O
164,schalt,O
164,das,O
164,licht,O
164,ein,O
165,gehe,O
165,auf,O
165,aufnahmen,O
166,zeig,O
166,mir,O
166,ein,O
166,western,O
167,öffne,O
167,netflix,O
168,netflix,O
169,schalte,O
169,srf eins,B
169,ein,O
170,starte,O
170,prosieben,O
171,schalte,O
171,srf eins,B
171,ein,O
172,spotify,O
173,schalte,O
173,auf,O
173,mtv,O
174,schalte,O
174,auf,O
174,mtv,O
175,s r f zwei,B
176,youtube,O
177,öffne,O
177,youtube,O
178,ard,O
179,vision,O
179,tv,O
180,licht,O
180,einschalten,O
181,hey,O
181,siri,O
181,ständerlampe,O
181,aus,O
182,dmax,O
183,dmax,O
184,dmax,O
185,umschalten,O
185,auf,O
185,dmax,O
186,schweizer fernseh zwei,B
187,zdf,O
187,bitte,O
188,wechseln,O
188,auf,O
188,dmax,O
189,d,O
189,max,O
190,dmax,O
191,suche,O
191,den,O
191,film,O
191,drachen,O
191,zähmen,O
192,suche,O
192,den,O
192,film,O
192,könig,O
192,der,O
192,löwen,O
193,suche,O
193,elementary,O
194,schalt,O
194,um,O
194,auf,O
194,dmax,O
195,schalt,O
195,um,O
195,auf,O
195,dmax,O
196,bitte,O
196,christbaum,O
196,ausschalten,O
197,schalte,O
197,bitte,O
197,das,O
197,gerät,O
197,christbaum,O
197,ein,O
198,christbaum,O
198,bitte,O
198,ausschalten,O
199,radio,O
200,öffne,O
200,netflix,O
201,christbaum,O
201,ausschalten,O
202,schweiz eins srf eins,B
203,schweiz eins,B
203,einschalten,O
204,schalte,O
204,auf,O
204,super,O
204,rtl,O
205,srf eins,B
206,srf eins,B
207,hey,B
207,swisscom srf eins,B
208,starte,O
208,youtube,O
209,swisscom,O
209,wechsle,O
209,zu,O
209,netflix,O
210,swisscom,O
210,zeige,O
210,mir,O
210,galileo,O
210,filme,O
211,swisscom,O
211,spiele,O
211,mir,O
211,einen,O
211,lustigen,O
211,film,O
211,ab,O
212,wetter,O
212,von,O
212,zürich,O
213,spotify,O
214,tischlampe,O
214,einschalten,O
215,hey,O
215,swisscom,O
215,sonos,O
215,wohnzimmer,O
215,einschalten,O
216,hey,O
216,swisscom,O
216,sonos,O
216,wohnzimmer,O
216,einschalten,O
217,gerät,O
217,sonos,O
217,einschalten,O
218,das,O
218,gerät,O
218,tischlampe,O
218,einschalten,O
219,wie,O
219,wird,O
219,das,O
219,wetter,O
219,morgen,O
219,in,O
219,bern,O
220,wie,O
220,wird,O
220,das,O
220,mor,O
220,morgen,O
220,das,O
220,wetter,O
220,in,O
220,miami,O
220,florida,O
221,wie,O
221,wird,O
221,das,O
221,wetter,O
221,morgen,O
221,in,O
221,orlando,O
221,florida,O
222,zeig,O
222,mir,O
222,filme,O
222,von,O
222,george,O
222,clooney,O
223,zeig,O
223,mir,O
223,die,O
223,filme,O
223,von,O
223,johnny,O
223,depp,O
224,schalte,O
224,auf,O
224,netflix,O
224,um,O
225,zeige,O
225,mir,O
225,weihnachtsfilme,O
226,srf eins,B
227,srf zwei,B
228,suche,O
228,elementary,O
229,srf zwei,B
230,spul dreissig sekunden vorwärts,B
231,spul zehn sekunden zurück,B
232,starte,O
232,netflix,O
233,starte,O
233,netflix,O
234,zeig,O
234,mir,O
234,einen,O
234,liebesfilm,O
235,netflix,O
235,netflix,O
236,hey,O
236,swisscom,O
236,voxup,O
237,schalte,O
237,das,O
237,gerät,O
237,tischlampe,O
237,ein,O
238,das,O
238,wetter,O
238,heute,O
238,in,O
238,unterkulm,O
239,wie,O
239,ist,O
239,das,O
239,wetter,O
239,heute,O
239,in,O
239,unterkulm,O
240,sf eins,B
241,srf zwei,B
242,srf eins,B
243,wechsle,O
243,zu,O
243,srf eins,B
244,zeig,O
244,mir,O
244,sportschau,O
245,netflix,O
245,starten,O
246,zeig,O
246,mir,O
246,das,O
246,programm,O
246,sportschau,O
247,schalte,O
247,auf,O
247,srf eins,B
248,suche,O
248,friends,O
249,schalte,O
249,wohnzimmer,O
249,ein,O
250,suche,O
250,friends,O
251,schalte,O
251,wohnzimmer,O
251,ein,O
252,schalte,O
252,wohnzimmer,O
252,ein,O
253,schalte,O
253,wohnzimmer,O
253,ein,O
254,schalte,O
254,wohnzimmer,O
254,an,O
255,licht,O
255,an,O
256,ich,O
256,möchte,O
256,gerne,O
256,netflix,O
256,schauen,O
257,spule,O
257,dreissig sekunden,B
257,vor,O
258,spule,O
258,dreissig sekunden,B
258,vor,O
259,licht,O
259,wohnzimmer,O
259,an,O
260,swisscom,O
260,licht,O
260,einschalten,O
261,wohnzimmer,O
261,licht,O
261,an,O
262,gar,O
262,weihnachtsbeleuchtung,O
262,einschalten,O
263,weihnachtsbeleuchtung,O
263,einschalten,O
264,spule,O
264,vierzig sekunden,B
264,vor,O
265,öffne,O
265,netflix,O
266,spule,O
266,neunzig sekunden,B
266,vor,O
267,spiel,O
267,bob,O
267,seger,O
267,auf,O
267,spotify,O
268,spule,O
268,dreissig sekunden zurück,B
269,spule zwanzig sekunden zurück,B
270,starte,O
270,youtube,O
271,spule,O
271,neunzig sekunden,B
271,vor,O
272,wie,O
272,ist,O
272,das,O
272,wetter,O
272,in,O
272,amriswil,O
273,spiele,O
273,einen,O
273,liebesfilm,O
274,spiele,O
274,rtl zwei,B
275,spule,O
275,neunzig sekunden,B
275,vor,O
276,schlagermusik,O
277,spule sechzig sekunden zurück,B
278,starte,O
278,youtube,O
279,swisscom,O
279,pfefferkörner,O
280,starte,O
280,youtube,O
281,spule neunzig sekunden zurück vielen dank,B
282,youtube,O
283,licht,O
283,einschalten,O
284,neun spule neunzig sekunden zurück,B
285,hey,O
285,swisscom,O
285,spiele,O
285,auf,O
285,spotify,O
285,zucchero,O
286,walking,O
286,dead,O
287,weihnachtsbeleuchtung,O
288,king,O
288,of,O
288,queens,O
289,king,O
289,of,O
289,queens,O
290,king,O
290,of,O
290,queens,O
291,sender zweiundfünfzig,B
292,schalte,O
292,das,O
292,radio,O
292,ein,O
293,spiele,O
293,srf eins,B
294,wechsle,O
294,zu,O
294,srf drei,B
295,wechsle,O
295,zu,O
295,radio,O
295,beo,O
296,den,O
296,radio,O
297,hey,O
297,swisscom,O
297,romantischer,O
297,film,O
298,wechsle,O
298,zu,O
298,radio,O
298,pilatus,O
299,hey,O
299,swisscom,O
299,suche,O
299,weihnachtsfilme,O
300,hey,O
300,swisscom,O
300,suche,O
300,einen,O
300,romantischen,O
300,film,O
301,hey,O
301,swisscom,O
301,suche,O
301,bradley,O
301,cooper,O
301,filme,O
302,ich,O
302,will,O
302,formel,O
302,ein,O
302,schauen,O
303,ich,O
303,will,O
303,motorsport,O
303,schauen,O
304,wetter,O
304,von,O
304,zürich,O
305,rtl,O
306,sender fünf,B
307,licht,O
307,aus,O
308,film,O
309,suche,O
309,das,O
309,duell,O
309,um,O
309,die,O
309,welt,O
310,suche,O
310,joko,O
310,gegen,O
310,klaas,O
310,das,O
310,duell,O
310,um,O
310,die,O
310,welt,O
311,rtl,O
312,netflix,O
313,spiel,O
313,netflix,O
314,suche,O
314,mandalorian,O
315,suche,O
315,star,O
315,wars,O
316,schalte,O
316,auf,O
316,rai,O
316,uno,O
317,uhd,O
317,sender,O
317,wechseln,O
318,fernsehsender,O
318,zdf,O
319,zu,O
319,eigene,O
319,aufnahmen,O
320,aufnahmen,O
321,zu,O
321,eigene,O
321,aufnahmen,O
322,zu,O
322,kika,O
323,fernsehsender,O
323,kika,O
324,sender,O
324,kika,O
325,kika,O
326,sender,O
326,kika,O
326,wechseln,O
327,sender,O
327,rbb,O
328,mach,O
328,zdf,O
329,ich,O
329,will,O
329,srf zwei,B
329,anschauen,O
330,hey,O
330,swisscom,O
330,aufnahmen,O
331,hey,O
331,swisscom,O
331,aufnahmen,O
332,wetter,O
332,in,O
332,bern,O
333,srf drei,B
334,gehe,O
334,zehn sekunden zurück,B
335,wie,O
335,ist,O
335,das,O
335,mo,O
335,wetter,O
335,morgen,O
335,in,O
335,bern,O
336,gerät,O
336,licht,O
336,einschalten,O
337,wie,O
337,ist,O
337,das,O
337,wetter,O
337,morgen,O
337,in,O
337,bern,O
338,szene,O
338,nacht,O
339,szene,O
339,hell,O
340,ruf,O
340,letitian,O
340,faghegi,O
340,an,O
341,hey,O
341,swisscom,O
341,zurück,O
341,in,O
341,die,O
341,zukunft,O
342,schalte,O
342,das,O
342,radio,O
342,ein,O
343,radio,O
343,pilatus,O
344,wähle,O
344,zdf,O
345,kinderfilm,O
346,srf zwei,B
346,einschalten,O
347,wähle,O
347,rtl zwei,B
348,auf,O
348,sender drei,B
349,auf,O
349,srf zwei,B
349,umschalten,O
350,auf,O
350,srf drei,B
350,umschalten,O
351,srf,O
351,info,O
352,radio,O
352,einschalten,O
353,hey,O
353,swisscom,O
353,prosieben,O
354,szene,O
354,weihnachtsbeleuchtung,O
354,einschalten,O
355,hey,O
355,swisscom,O
355,aufnahmen,O
356,hey,O
356,swisscom,O
356,kanal,O
356,prosieben,O
357,aufnahmen,O
358,wetter,O
358,in,O
358,luzern,O
359,auf,O
359,prosieben,O
360,kanal,O
360,mtv,O
361,kanal rtl zwei,B
362,kanal,O
362,rtl,O
363,wetter,O
363,im,O
363,tessin,O
364,serie,O
364,eine,O
364,schrecklich,O
364,nette,O
364,familie,O
365,wetter,O
365,in,O
365,basel,O
366,wetter,O
366,in,O
366,lugano,O
367,schalte,O
367,auf,O
367,nummer zwei,B
368,wetter,O
368,in,O
368,solothurn,O
369,hey,O
369,swisscom,O
369,geh,O
369,zu,O
369,den,O
369,aufnahmen,O
370,zdf,O
371,szene,O
371,nacht,O
372,zdf,O
373,szene,O
373,hell,O
374,gehe,O
374,zu,O
374,prosieben,O
375,netflix,O
376,starte,O
376,netflix,O
377,wo,O
377,ist,O
377,time,O
378,wie,O
378,ist,O
378,die,O
378,zeit,O
379,porno,O
380,srf zwei,B
381,tv,O
381,programm,O
382,srf zwei,B
383,prosieben,O
384,santa,O
384,claus,O
385,suche,O
385,den,O
385,film,O
385,santa,O
385,claus,O
386,suche,O
386,santa,O
386,claus,O
387,gehe,O
387,zu,O
387,aufnahmen,O
388,suche,O
388,santa,O
388,claus,O
388,eine,O
388,schöne,O
388,bescherung,O
389,gehe,O
389,zu,O
389,aufnahmen,O
390,szene,O
390,wohnzimmer,O
390,einschalten,O
391,szene,O
391,wohnzimmer,O
391,einschalten,O
392,suche,O
392,buddy,O
392,der,O
392,weihnachtself,O
393,suche,O
393,buddy,O
393,der,O
393,weihnachtself,O
394,szene,O
394,nacht,O
395,szene,O
395,hell,O
396,lampe,O
396,dach,O
396,aus,O
397,starte,O
397,youtube,O
398,szene,O
398,nacht,O
399,szene,O
399,hell,O
400,szene,O
400,hell,O
401,rtl,O
402,rtl,O
403,eiskönigin,O
404,hey,O
404,swisscom,O
404,schalte,O
404,das,O
404,gerät,O
404,stehlampe,O
404,ein,O
405,eiskönigin,O
406,hey,O
406,swisscom,O
406,schalte,O
406,das,O
406,gerät,O
406,stehlampe,O
406,aus,O
407,schalte,O
407,super,O
407,rtl,O
408,öffne,O
408,spotify,O
409,spiele,O
409,weihnachtsmusik,O
409,klassik,O
410,zeig,O
410,mir,O
410,einen,O
410,kinotrailer,O
411,sky,O
412,sky,O
412,einschalten,O
413,sky,O
414,zurück,O
414,zum,O
414,tv,O
415,netflix,O
416,zurück,O
416,zum,O
416,fernsehen,O
417,zeig,O
417,mir,O
417,ein,O
417,liebesfilm,O
418,musik,O
419,lieder,O
420,hey,B
420,swisscom orf eins,B
421,musik,O
422,suche,O
422,elementary,O
423,wie,O
423,wird,O
423,das,O
423,wetter,O
423,morgen,O
423,in,O
423,baden,O
424,hey,O
424,swisscom,O
424,geh,O
424,auf,O
424,netflix,O
425,gehe,O
425,zu,O
425,rai eins,B
426,srf zwei,B
427,srf eins,B
428,srf zwei,B
429,orf zwei,B
430,srf eins,B
431,wetter,O
431,morgen,O
431,in,O
431,unterkulm,O
432,zeig,O
432,mir,O
432,ein,O
432,tutorial,O
433,such,O
433,james,O
433,bond,O
434,such,O
434,james,O
434,bond,O
435,programm drei,B
436,tv,O
436,guide,O
437,corinne,O
437,breigger,O
437,anrufen,O
438,zeig,O
438,mir,O
438,spotlight,O
439,hey,O
439,swisscom,O
439,kanal,O
439,prosieben,O
440,prosieben,O
441,sat eins,B
442,kanal,O
442,prosieben,O
443,schalte,O
443,kabel eins doku,B
443,ein,O
444,schalte,O
444,kabel eins doku,B
444,an,O
445,schalte,O
445,radio,O
445,zentral,O
445,ein,O
446,schalte,O
446,kabel eins doku,B
446,an,O
447,schalte,O
447,radio,O
447,zentral,O
447,an,O
448,schalte,O
448,kabel eins doku,B
448,an,O
449,starte,O
449,netflix,O
450,gehe,O
450,auf,O
450,srf eins,B
451,schalt,O
451,netflix,O
451,ein,O
452,schalt,O
452,kabel eins doku,B
452,ein,O
453,isch,O
453,will,O
453,grip,O
453,das,O
453,motormagazin,O
453,sehen,O
454,rtl zwei,B
455,wie,O
455,wird,O
455,das,O
455,wetter,O
455,morgen,O
455,in,O
455,bern,O
456,wie,O
456,wird,O
456,das,O
456,wetter,O
456,morgen,O
456,in,O
456,stettlen,O
457,wie,O
457,wird,O
457,das,O
457,wetter,O
457,morgen,O
457,in,O
457,bern,O
458,spiel,O
458,die,O
458,simpsons,O
458,ab,O
459,ich,O
459,möchte,O
459,das,O
459,wetter,O
459,in,O
459,bern,O
459,morgen,O
459,wissen,O
460,spiel,O
460,prosieben,O
461,zeig,O
461,aufnahmen,O
462,zu,O
462,netflix,O
463,kabel eins doku,B
464,rtl,O
465,zehn,O
465,sekunden,B
465,zurück,O
466,spiel,O
466,radio,O
467,zeige,O
467,mir,O
467,guardians of the galaxy zwei,B
468,spiel,O
468,radio,O
468,sunshine,O
469,zdf,O
470,zeig,O
470,mir,O
470,sportpanorama,O
471,netflix,O
472,srf zwei,B
473,srf zwei,B
474,wechsle,O
474,auf,O
474,srf,O
475,öffne,O
475,netflix,O
476,öffne,O
476,netflix,O
477,netflix,O
478,öffne,O
478,net,O
478,flix,O
479,netflix,O
480,prosieben,O
481,rtl,O
482,serien,O
483,sport,O
484,tv,O
485,prosieben,O
486,zeig,O
486,mir,O
486,science,O
486,fiction,O
486,filme,O
487,science,O
487,fiction,O
487,filme,O
488,zeig,O
488,mir,O
488,krimis,O
489,science,O
489,fiction,O
489,film,O
490,science,O
490,fiction,O
490,film,O
491,zdf eins,B
492,szene,O
492,wohnzimmer,O
492,einschalten,O
493,he,B
493,swisscom orf eins,B
494,hey,O
494,swisscom,B
494,schalte,O
494,auf,O
494,srf zwei,B
495,my,O
495,swisscom,O
495,bitte,O
495,einen,O
495,film,O
495,zeigen,O
495,mit,O
495,jörg,O
495,schneider,O
496,hey,O
496,swisscom,O
496,film,O
496,mit,O
496,winnetou,O
496,zeigen,O
497,hey,B
497,swisscom srf eins,B
498,hey,O
498,swisscom srf zwei,B
499,hey,B
499,swisscom orf eins,B
500,ein,O
500,käfig,O
500,voller,O
500,helden,O
501,ein,O
501,käfig,O
501,voller,O
501,helden,O
502,ein,O
502,käfig,O
502,voller,O
502,helden,O
503,ein,O
503,käfig,O
503,voller,O
503,helden,O
504,ein,O
504,käfig,O
504,voller,O
504,helden,O
505,radio,O
505,anlassen,O
506,energy,O
506,zürich,O
507,starte,O
507,youtube,O
508,schalte,O
508,auf,O
508,prosieben,O
509,prosieben,O
510,starte,O
510,netflix,O
511,rtl,O
512,prosieben,O
513,geh,O
513,auf,O
513,ard,O
514,srf drei,B
514,einschalten,O
515,schalte,O
515,auf,O
515,rtl zwei,B
516,zeig,O
516,mir,O
516,marvel,O
516,filme,O
517,schalte,O
517,auf,O
517,vox,O
518,zeig,O
518,mir,O
518,marvel,O
518,filme,O
519,zeig,O
519,mir,O
519,mehr,O
519,marvel,O
519,filme,O
520,zeig,O
520,mir,O
520,science,O
520,fiction,O
520,filme,O
521,srf eins,B
522,geh,O
522,we,O
522,geh,O
522,wieder,O
522,zu,O
522,superrtl,O
523,rtl,O
524,auf,O
524,dmax,O
524,umschalten,O
525,schalt,O
525,kabel eins doku,B
525,ein,O
526,dmax,O
527,umschalten,O
527,auf,O
527,dmax,O
528,umschalten,O
528,auf,O
528,rtl,O
528,crime,O
529,umschalten,O
529,auf,O
529,rtl,O
529,crime,O
530,radio,O
530,einschalten,O
531,gehe,O
531,zu,O
531,srf eins,B
532,gehe,O
532,auf,O
532,hdmi eins,B
533,licht,O
533,an,O
534,licht,O
534,an,O
535,auf,O
535,kanal fünfunddreissig,B
535,wechseln,O
536,suche,O
536,den,O
536,film,O
536,fast,O
536,and,O
536,furious,O
537,suche,O
537,den,O
537,film,O
537,fast,O
537,and,O
537,furious,O
538,sender eins,B
539,sf eins,B
540,gehe,O
540,zu,O
540,bayern zwei,B
541,gehe,O
541,zu,O
541,sender eins,B
542,die,O
542,trends,O
543,gehe,O
543,zu,O
543,srf zwei,B
544,gehe,O
544,zu,O
544,srf eins,B
545,licht,O
545,aus,O
546,licht,O
546,aus,O
547,schalte,O
547,auf,O
547,sky eins,B
548,schalte,O
548,auf,O
548,ard,O
549,vier plus,B
550,szene,O
550,weihnachtsbeleuchtung,O
550,aus,O
551,szene,O
551,weihnachtsbeleuchtung,O
551,ein,O
552,lampe gruppe zwei,B
552,ein,O
553,hey,O
553,swisscom,O
553,wir,O
553,möchten,O
553,yakari,O
553,sehen,O
554,rai,O
554,uno,O
555,srf eins,B
556,spiel,O
556,spotify,O
557,zeig,O
557,mir,O
557,simpsons,O
557,aufnahmen,O
557,an,O
558,simpsons,O
558,abspielen,O
559,lego,O
559,city,O
560,lego,O
560,schauen,O
561,netflix,O
562,hey,O
562,s,O
562,hey,O
562,swisscom,O
562,sch,O
562,schalte,O
562,auf,O
562,ard,O
563,bitte,O
563,das,O
563,programm,O
563,nummer eins srf eins,B
564,prosieben,O
565,bitte,O
565,auf,O
565,nickelodeon,O
566,schalte,O
566,srf eins,B
566,ein,O
567,wie,O
567,ist,O
567,das,O
567,wetter,O
567,morgen,O
567,in,O
567,sankt,O
567,gallen,O
568,geh,O
568,zu,O
568,r srf zwei,B
569,suche,O
569,two,O
569,and,O
569,a,O
569,half,O
569,men,O
570,hi,O
570,swisscom,O
570,öffne,O
570,ne,O
570,netflix,O
571,zeig,O
571,mir,O
571,soko,O
571,leipzig,O
572,sat eins,B
573,sat eins gold,B
574,schalte,O
574,auf,O
574,super,O
574,rtl,O
575,schalte,O
575,auf,O
575,rtl,O
576,schalte,O
576,auf,O
576,prosieben,O
577,schalte,O
577,auf,O
577,rtl,O
578,schalte,O
578,auf,O
578,prosieben,O
579,szene,O
579,hell,O
580,szene,O
580,weihnachtsbeleuchtung,O
580,einschalten,O
581,drei sat,B
582,drei sat,B
583,schalte,O
583,netflix,O
583,ein,O
584,drei sat,B
585,hey,B
585,swisscom drei plus,B
586,schalte,O
586,auf,O
586,srf eins,B
587,hey,O
587,swisscom,O
587,rtl,O
587,einschalten,O
588,sat eins,B
589,zeig,O
589,meteo,O
590,szene,O
590,wohnzimmer,O
590,einschalten,O
591,ard eins,B
592,bitte,O
592,wechsle,O
592,auf,O
592,arte,O
593,spiele,O
593,vox plus,B
594,vox,O
594,plus,O
595,öffne,O
595,prosieben,O
596,öffne,O
596,prosieben,O
597,hey,B
597,swisscom,B
597,gehe,O
597,zu,O
597,srf zwei,B
598,spiele,O
598,pro sieben,B
598,ab,O
599,gehe,O
599,zu,O
599,rtl,O
600,hey,O
600,swisscom spiel,B
600,radio ö drei,B
601,hey,O
601,swisscom ich,B
601,möchte,O
601,radio ö drei,B
601,hören,O
602,ver,O
602,vermisst,O
603,hey,O
603,swisscom,O
603,vermisst,O
604,krimi,O
605,musik,O
606,musik,O
607,hey,O
607,swisscom,O
607,zdf,O
608,hey,O
608,swisscom,O
608,zdf,O
609,hey,O
609,swisscom,O
609,gehe,O
609,zu,O
609,national,O
609,geographic,O
610,dreissig,O
610,sekunden spulen,B
611,hey,O
611,swisscom,O
611,wechsle,O
611,zu,O
611,national,O
611,geographic,O
612,hey,O
612,swisscom,O
612,gehe,O
612,zu,O
612,national,O
612,geographic,O
613,spiel,O
613,ab,O
613,modern,O
613,family,O
614,geh,O
614,zu,O
614,aufnahmen,O
615,aufnahmen,O
616,tv,O
617,youtube,O
618,schalte,O
618,das,O
618,licht,O
618,ein,O
619,netflix,O
620,öffne,O
620,spotify,O
621,srf eins,B
